timestamp,roll_joint.position,roll_joint.velocity
2212491283296,0.415718156192716,0.23903103015614
2212509197408,0.412374885137771,-0.0316842747486495
2212530427392,0.404162905681579,-0.282229069985034
2212552246944,0.391132214512417,-0.527306644849746
2212569877408,0.373696712116614,-0.75685298022742
2212589451104,0.352429593204319,-0.95981554277568
2212613611808,0.327298802314577,-1.15745357505588
2212630824576,0.29772037766018,-1.37676137982052
2212653507776,0.271529111603105,-1.56748619961196
2212672122592,0.226035846934597,-1.76710514000493
2212695126848,0.188581305408318,-1.83549508558925
2212713433536,0.150019329044361,-1.89882207065808
2212733634080,0.108868280263717,-2.00812475566793
2212752068160,0.0643764005754847,-2.15192468745514
2212768752256,0.0202730821695323,-2.17714988922605
2212794279136,-0.0211285630151719,-2.10461855129612
2212811833056,-0.0618786727636671,-2.06334413170801
2212828355168,-0.103873082113664,-2.09072040822267
2212850645184,-0.146446479329401,-2.11076074744038
2212870309568,-0.185099724226487,-1.98531577961681
2212895676864,-0.219676085613582,-1.81404463378326
2212915271840,-0.251481656751856,-1.66620246038617
2212932072800,-0.280981575370448,-1.53931367434177
2212948666976,-0.308095884218817,-1.41518177497276
2212968524288,-0.331540211443435,-1.24954710035515
2212991313632,-0.350126433497044,-1.03383975934714
2213010061472,-0.363910913687402,-0.803542560784429
2213030721024,-0.373327331153272,-0.570393514607961
2213051576672,-0.378090498792609,-0.341071836633883
2213084331552,-0.377992752458224,-0.109516104276759
2213092536896,-0.373035215671204,0.128543855487544
2213109443072,-0.363851554323418,0.350623252180108
2213129937248,-0.350872638750916,0.548942992581904
2213149664832,-0.334327667255015,0.73415469440985
2213168801120,-0.313986879773856,0.921891650316193
2213188967008,-0.290691419092985,1.07997425026815
2213212247616,-0.265446462076337,1.20232902016115
2213229970144,-0.238331591467425,1.30600698411308
2213250157408,-0.20897922861798,1.41275122435915
2213269010784,-0.177796088160729,1.51167051475607
2213289698944,-0.144180337301203,1.62557153749943
2213308683584,-0.107843792881134,1.75085546730084
2213330123488,-0.0717072352141727,1.78064918668313
2213350068576,-0.0378012414077209,1.72068358944673
2213369844896,-0.0053939325646563,1.65482727753557
2213390376448,0.0264990025783933,1.61659694470019
2213409840576,0.0585888801420281,1.61029155711834
2213428807968,0.0905201744600342,1.59869195093104
2213450148864,0.12004194907473,1.51224252742841
2213469996672,0.146041145691342,1.36964733793783
2213489920896,0.169108174639972,1.22568182723073
2213508522624,0.189564234214105,1.09087474546039
2213529741408,0.207531875987077,0.962709920343838
2213550456896,0.222864263945435,0.831016255939824
2213568908480,0.23520874120532,0.687426305562034
2213590658784,0.244197892965286,0.527455090073085
2213609842912,0.249494545866426,0.351373319537709
2213630131232,0.250911914528377,0.163346062167716
2213652057824,0.248447728502281,-0.0280439135587082
2213670370624,0.242289615809312,-0.214583246459246
2213692750976,0.232737369325618,-0.389442087700422
2213710080096,0.2206279771494,-0.533118572608437
