timestamp,roll_joint.position,roll_joint.velocity
2234430384896,0.398544949156854,0.18375754955381
2234452148832,0.394088338926864,-0.0862881455619008
2234473734272,0.384764401290293,-0.340333507730949
2234490682880,0.370873397257075,-0.576864621549825
2234512353280,0.352496372488801,-0.805685372966872
2234529676544,0.329837702492818,-1.0208921151115
2234548964064,0.303131419051773,-1.23461826712647
2234568649696,0.27191521664593,-1.45455201357551
2234589336320,0.236924182351758,-1.64518222352893
2234608978144,0.201299657715885,-1.73281817892395
2234629354944,0.164814217493707,-1.79450032912452
2234654397408,0.126177251949007,-1.88900202824247
2234670471808,0.0841719175267945,-2.03196268977928
2234693044960,0.0403854393813678,-2.1282258827048
2234712732224,-0.0007272692422545,-2.07545334833406
2234732397504,-0.0400192592827826,-2.00353545291647
2234752979328,-0.0794775070371833,-1.98632966376915
2234776076576,-0.120028940807169,-2.01424700931294
2234790555040,-0.159134402940919,-1.9664370675741
2234808457760,-0.19375214735464,-1.80662490053873
2234833635936,-0.225009814710522,-1.64552751900902
2234852456960,-0.247156475082107,-1.54532788270912
2234869914784,-0.2810458033258,-1.40615568745713
2234889772320,-0.305821128528969,-1.29327224712302
2234912233440,-0.327223830688851,-1.14150940646012
2234928852480,-0.344023841471019,-0.937530080736734
2234948909728,-0.350571160593141,-0.824084130846132
2234969235296,-0.362937757174384,-0.469684501936203
2234990551040,-0.365190416949563,-0.231546460382338
2235009215008,-0.362915099499172,-0.001227709744753
2235029575392,-0.356209925664626,0.223011644164413
2235052338752,-0.345385736279405,0.436605255801396
2235068972640,-0.330724160628786,0.634958994419355
2235091953216,-0.312067905760886,0.832217885146789
2235115697824,-0.290069737426019,1.01045675764841
2235133190272,-0.266826707729108,1.10366088354008
2235153044448,-0.242158866043059,1.18558186168335
2235173211936,-0.216021271524477,1.26661048320497
2235193399648,-0.187741496804061,1.36680417420579
2235215249248,-0.157410359836175,1.46845188874397
2235235000992,-0.124341014730928,1.59248178176114
2235252957952,-0.0896957440506271,1.68139920658022
2235275253440,-0.0562378479035271,1.67098117006718
2235292448000,-0.0243828418375186,1.61854559839515
2235315843840,-0.0087552253074195,1.59642187657905
2235333191264,0.0376904516957419,1.55953405781333
2235350000640,0.0689514662081894,1.5616667817127
2235369361280,0.0993994084071971,1.53076775164979
2235390247776,0.126785287516129,1.4185841713248
2235410635648,0.150663083219306,1.26807171600261
2235433640192,0.171540433941906,1.11855989664663
2235452228320,0.189593153178696,0.974662452591925
2235473485664,0.204860517354267,0.833814946962253
2235490608416,0.217288767155043,0.691391328504012
2235509783232,0.22659251652212,0.53966935592057
2235528923840,0.232582218085803,0.378658157820743
2235550147616,0.235049493794883,0.207592639752417
2235570868320,0.234017340721565,0.0346130279658339
2235593609536,0.229748077632478,-0.130533248525178
2235608672288,0.222621536577723,-0.280137190758439
2235629646240,0.212932431181878,-0.416000885592388
2235651046144,0.200755241530194,-0.54458918453118
2235669833760,0.186188310827631,-0.666099721955652
2235689923392,0.169402191915543,-0.78275234146263
2235719893184,0.1505777073202,-0.888451917759966
2235728919648,0.129827144781694,-0.977475936641972
2235753209248,0.107807026823966,-1.06185279143666
2235769513632,0.0831939626424767,-1.173405701926
2235790448032,0.0572388876351357,-1.25310791318016
2235809300640,0.0317216230472132,-1.2644661964011
2235829814464,0.0069997514077424,-1.24542480786798
2235849566176,-0.0171359435865467,-1.22044912140467
2235875838368,-0.0408398041817713,-1.19729447536644
2235889854432,-0.064282633378276,-1.18047639462016
2235909659904,-0.0874994475832063,-1.16742056466672
2235929379904,-0.110193637230155,-1.1454975318044
2235949940832,-0.131582295376476,-1.09280607820529
2235969776768,-0.150774095294833,-1.00125942679409
2235994421760,-0.167392095661252,-0.886482385298176
2236009535456,-0.181519062528983,-0.765894562971348
2236029606144,-0.193374082509579,-0.649548805160677
2236050453696,-0.202885999267663,-0.533392852193282
2236069681696,-0.209852766261473,-0.409640550807485
2236089531200,-0.214159035326293,-0.278591050195479
2236111145664,-0.215859858995282,-0.149175506192895
2236130627040,-0.215131442825254,-0.0256211346973866
2236148992384,-0.21204438139104,0.0943324950870621
2236169556928,-0.206680317224808,0.210093831754246
2236189809568,-0.199596891291685,0.306773043471476
2236209716896,-0.190859267814596,0.391904670368303
2236229814848,-0.180310715602198,0.481798306273349
2236249667232,-0.167950485640436,0.573459322768319
2236269652864,-0.153881192855061,0.659055057499958
2236289747744,-0.137937492393083,0.749082872251234
2236309559904,-0.120928132182099,0.814042590929974
2236331899136,-0.107838549782738,0.852460902886874
2236352647328,-0.0853091432282383,0.883674425226796
2236369262784,-0.0673987191071829,0.891788728568672
2236388970976,-0.0498305944099867,0.881983900501085
2236409476832,-0.0328277880719979,0.859641841087488
2236429719616,-0.0161625998200148,0.841430594195957
2236450233696,-4.97275113504492E-05,0.817049741927026
2236469320192,0.0154567842713926,0.788220682429552
2236489997536,0.030273284409524,0.75601296096296
2236512539232,0.0443826435952534,0.721435546274848
2236530801952,0.057372677345157,0.673018130729433
2236552980800,0.069113961296762,0.613957295660017
2236570261056,0.0794150872485771,0.547753394413222
2236590233984,0.088006729056373,0.467234570583872
2236609824768,0.0945473187553301,0.373616661239317
2236635868864,0.0990712173652943,0.276437775222933
2236650562816,0.10188058183803,0.185891028318907
2236669869120,0.102900323514364,0.0955507342658995
2236688690144,0.102030887893166,0.0023870695796008
2236709250720,0.0993577913136781,-0.0883836762320216
2236729137504,0.0950525872532198,-0.172849353560805
2236750576992,0.089242695876495,-0.250722367158682
2236782738720,0.0822690707227301,-0.315913519477562
