timestamp,ball_roll.position,roll_joint.position
13316107928288,-0.363084895227354,0.363203142217308
13316126030208,-0.353396163624532,0.362638385618643
13316147479840,-0.348247512716119,0.361491130150848
13316166102144,-0.33736973332877,0.360097495871815
13316195239424,-0.331639350636269,0.35873812898587
13316205646592,-0.31965620696725,0.355692637831797
13316226637184,-0.306948862109614,0.352649955480435
13316257856224,-0.300345720244124,0.348906944986167
13316265012704,-0.286640090676704,0.34436000834229
13316283882848,-0.272362229901539,0.338911165147529
13316307251616,-0.265008970867451,0.33255344020848
13316323491200,-0.250005790798049,0.325750098719142
13316356830528,-0.24220549294199,0.321927645921497
13316368354400,-0.226334750090728,0.309117445765242
13316384116832,-0.209994929387648,0.299182429691944
13316405552320,-0.201781936839846,0.290738185658143
13316432337056,-0.184918320923094,0.278406090536881
13316449410208,-0.176412095790865,0.264795428421029
13316466456352,-0.1591934870503,0.246246657070249
13316485429696,-0.141849226452035,0.230467973767613
13316510120384,-0.133124445328963,0.214086568216318
13316526553600,-0.115594123122767,0.201407258266451
13316549846816,-0.106797354121002,0.179019321741889
13316585767712,-0.0891192854443603,0.166296428536604
13316588458208,-0.0804682288280044,0.156932863375102
13316608415936,-0.0627038173909785,0.122064386505939
13316627057696,-0.0454197952505275,0.100440022998686
13316646675680,-0.0367331530388066,0.0775278702612716
13316676211264,-0.0196057545414755,0.058769281347891
13316686627808,-0.0027629399179305,0.0300844772763776
13316705729184,0.0056428623148726,0.0071584209655378
13316724882080,0.0221411182709854,-0.0157086973017244
13316745888256,0.0302943862120659,-0.0374413401535319
13316765897184,0.0464406653243249,-0.0602241007126714
13316786134720,0.0622384270505564,-0.0821881889079636
13316805106848,0.0700489548769051,-0.100164526265999
13316824672064,0.0852879743079537,-0.12809188987279
13316847198560,0.0927495386233523,-0.151069394086642
13316864405696,0.107406083030448,-0.171336216429713
13316885421376,0.121643945161118,-0.185822148284063
13316905619456,0.128548730171678,-0.204117565630203
13316930912416,0.14218475879448,-0.225455103567162
13316944949824,0.148825045411871,-0.23733371749054
13316967309472,0.161766862658388,-0.256385639033831
13316985515616,0.17412316637215,-0.269822202194905
13317003291488,0.180190393336266,-0.282361072009163
13317027565152,0.192004696378551,-0.294026216926414
13317044958240,0.197780622394183,-0.301911836914139
13317064923200,0.209047638530879,-0.313315201418614
13317084336768,0.219912358702268,-0.320715085790643
13317108789024,0.225280893844319,-0.32668772387785
13317124682944,0.235519076938564,-0.331253713566791
13317145759584,0.240561049916974,-0.334374106126523
13317165439648,0.250097433342143,-0.336104328597234
13317185437344,0.259364564718694,-0.337130477854755
13317208951520,0.263724005468478,-0.336715149560379
13317226434464,0.272115319483702,-0.335540321012626
13317247028128,0.27615317606398,-0.333932187833138
13317264960480,0.283845152527042,-0.332020703960734
13317284752096,0.291021046417801,-0.329967281924607
13317305321216,0.294411102735321,-0.327853189749896
13317324149120,0.300722858759675,-0.325749583771978
13317345566976,0.306257201325373,-0.323671444271983
13317364159360,0.308781943312418,-0.32205582095193
13317383588864,0.313415322066605,-0.320841294659178
13317409456896,0.315473766444477,-0.320079172856603
13317424908544,0.319022335099221,-0.31977282610746
13317445119808,0.321845404552894,-0.320015132154765
13317464288576,0.322988812345562,-0.320245453977165
13317484891936,0.324503517253716,-0.321539001252887
13317507499360,0.325351136459458,-0.322841536697287
13317532631168,0.326164767496186,-0.324546292690074
13317542995648,0.326260791464338,-0.325908749259002
13317563249664,0.326085380642482,-0.328073025375504
13317586024832,0.325217873092735,-0.329935448827202
13317607224768,0.32452491124515,-0.331578411160321
13317625279712,0.322769105517565,-0.333027004345756
13317645584352,0.320456236255911,-0.334244152187706
13317665542368,0.319071025128067,-0.334967699766367
13317684392928,0.315961589593159,-0.335188284406031
13317702967680,0.314207948305014,-0.334993540751319
13317725535264,0.310395111872514,-0.334430282180767
13317746208512,0.308299652524881,-0.33382657685116
13317766099168,0.303771790197247,-0.332718036047414
13317785352448,0.29881345752969,-0.331740572703571
13317807859136,0.296179622392532,-0.3306091869711
13317827066176,0.29064271238014,-0.32933286701868
13317846040352,0.284764218183296,-0.32796853791461
13317868321728,0.281686638894234,-0.326362651777292
13317886576160,0.278528925668477,-0.324493487199085
13317905466848,0.271984714723794,-0.322456168965175
13317926456800,0.265136728014463,-0.320091531588536
13317948553760,0.261613759135818,-0.317405941688652
13317967807808,0.254395152206518,-0.31449152799448
13317986270624,0.246990077751913,-0.311198487694705
13318006452864,0.243212705586016,-0.307412221638669
13318025152352,0.235512303783291,-0.303643557412963
13318044227392,0.231669080511121,-0.299379794895854
13318065439584,0.223699548141655,-0.294913049569411
13318084956896,0.215726463535228,-0.290092769608259
13318107416160,0.211591369255227,-0.284800236284431
13318127070176,0.203399365305178,-0.279234687336978
13318145170016,0.199231877997546,-0.273022739258692
13318169119200,0.190929868570667,-0.269831564870612
13318185661920,0.182598819997465,-0.25973485538785
13318209591168,0.178329165859999,-0.256295382840012
13318227573984,0.169867719024596,-0.248950176494113
13318244154432,0.165643497157745,-0.241327834947278
13318267373856,0.157168226283442,-0.232144922613549
13318286718560,0.14854018848613,-0.222178541576632
13318304993216,0.144251751706281,-0.213857744422031
13318326649056,0.135754595479352,-0.205195396857628
13318348000576,0.131556398191765,-0.196304600005967
13318363103616,0.122984634947827,-0.187216063443367
13318385644192,0.114676716216511,-0.180485423130896
13318404612096,0.110453178242909,-0.170879317855196
13318425108160,0.102304873852559,-0.161111051036246
13318446416576,0.0980751788805409,-0.148751195581512
13318463568256,0.0901849466057466,-0.138160136821403
